top_category,sub_category,naics_code,n_pois,naics_2digit
Miscellaneous Durable Goods Merchant Wholesalers,Sporting and Recreational Goods and Supplies Merchant Wholesalers,423910,1839,42
Miscellaneous Durable Goods Merchant Wholesalers,Toy and Hobby Goods and Supplies Merchant Wholesalers,423920,162,42
Miscellaneous Nondurable Goods Merchant Wholesalers,Farm Supplies Merchant Wholesalers,424910,1161,42
Miscellaneous Nondurable Goods Merchant Wholesalers,"Paint, Varnish, and Supplies Merchant Wholesalers",424950,61,42
Motion Picture and Video Industries,Drive-In Motion Picture Theaters,512132,349,51
Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,7553,51
Motion Picture and Video Industries,Motion Picture and Video Production,512110,5252,51
Motion Picture and Video Industries,Other Motion Picture and Video Industries,512199,1,51
Motion Picture and Video Industries,Teleproduction and Other Postproduction Services,512191,1,51
Motor Vehicle Manufacturing,Automobile Manufacturing,336111,12,33
Motor Vehicle Manufacturing,Heavy Duty Truck Manufacturing,336120,339,33
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,Automobile and Other Motor Vehicle Merchant Wholesalers,423110,314,42
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,Motor Vehicle Parts (Used) Merchant Wholesalers,423140,157,42
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,Motor Vehicle Supplies and New Parts Merchant Wholesalers,423120,114,42
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,Tire and Tube Merchant Wholesalers,423130,179,42
"Museums, Historical Sites, and Similar Institutions",Historical Sites,712120,13277,71
"Museums, Historical Sites, and Similar Institutions",Museums,712110,12682,71
"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,111402,71
"Museums, Historical Sites, and Similar Institutions",Zoos and Botanical Gardens,712130,4147,71
National Security and International Affairs,International Affairs,928120,1216,92
National Security and International Affairs,National Security,928110,59,92
Natural Gas Distribution,Natural Gas Distribution,221210,330,22
